name,reward,required_rank,description,is_active,expiration_date,is_collective
Light a candle,1000,1," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed ",TRUE,NULL,FALSE
Plant the cedar tree,3700,2," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
Hew the Ashlar out,7000,3," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed ",TRUE,NULL,TRUE
Study architecture,8700,3," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum ",TRUE,NULL,FALSE
Deny conspiracy theory publicly,2500,1," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus.  ",TRUE,NULL,FALSE
Examine ancient secret knowledge,15000,4," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
Study geometry,5700,2," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. Aenean a nulla erat. Morbi. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
Build an hourglass,13000,4," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
Hunt with two headed eagle,33000,5," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
Observe the moon,1000,1," Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed purus arcu, eleifend ac sem id, pharetra cursus lorem. Curabitur id imperdiet nulla, id mattis justo. Duis facilisis, urna quis volutpat pretium, velit sapien convallis neque, sed commodo tellus purus id est. Duis ut gravida lectus. Curabitur sed tortor in nibh sodales maximus. Donec rhoncus lectus sit amet purus accumsan pellentesque ornare non urna. Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi.  Phasellus viverra, risus sed elementum molestie, enim eros aliquam libero, in accumsan velit sapien eu diam. Mauris condimentum arcu porta nisi dapibus condimentum. Donec varius feugiat sem, vel volutpat leo egestas quis. Aenean a nulla erat. Morbi. ",TRUE,NULL,FALSE
